product_id,product_name,category,subcategory,cost_price
1,Lamp,Home,Facere,34665.96
2,Headphones,Electronics,Ab,42981.17
3,Lamp,Home,Iure,44383.19
4,Chair,Home,Omnis,11815.04
5,Biography,Books,Voluptatum,21755.18
6,Laptop,Electronics,Dolor,34730.66
7,Laptop,Electronics,Animi,2900.35
8,Dictionary,Books,Dolor,12285.45
9,Table,Home,Iste,4040.52
10,Table,Home,Saepe,29199.54
11,Shoes,Clothing,Asperiores,23032.57
12,Camera,Electronics,Sunt,33912.78
13,T-Shirt,Clothing,Sint,17343.72
14,Magazine,Books,Ut,22896.11
15,Biography,Books,Incidunt,42681.44
16,Phone,Electronics,Porro,18012.06
17,   dictionary   ,Books,Rem,41518.87
18,   lamp   ,Home,Quo,43266.86
19,Camera,Electronics,Magnam,45156.45
20,Jacket,Clothing,Aut,9587.59
21,Biography,Books,Voluptatum,45179.84
22,Headphones,Electronics,Ipsum,1764.89
23,Biography,Books,Qui,14826.01
24,Table,Home,Est,39346.99
25,Dictionary,Books,Ea,12922.81
26,Lamp,Home,Quasi,17001.89
27,Camera,Electronics,Atque,7123.78
28,Shoes,Clothing,Quae,40248.92
29,Novel,Books,Dolore,794.54
30,Camera,Electronics,Nesciunt,37475.68
31,Magazine,Books,Quisquam,47020.57
32,Phone,Electronics,Quidem,31015.39
33,Biography,Books,Necessitatibus,31806.66
34,Lamp,Home,Consectetur,5922.13
35,Laptop,Electronics,Laudantium,24681.97
36,Phone,Electronics,Est,6869.64
37,Lamp,Home,Error,37182.69
38,Table,Home,Ut,32780.6
39,Fan,Home,Iure,14059.03
40,Biography,Books,Iure,47532.7
41,Novel,Books,Magni,18430.01
42,Novel,Books,Impedit,9571.45
43,Camera,Electronics,Esse,10684.08
44,Laptop,Electronics,Sit,12254.09
45,Jeans,Clothing,Quia,38281.35
46,Jeans,Clothing,Pariatur,11726.63
47,T-Shirt,Clothing,Ratione,49203.0
48,Jacket,Clothing,Totam,5585.32
49,   phone   ,Electronics,Accusamus,39520.23
50,   jacket   ,Clothing,Cum,13341.84
51,Shoes,Clothing,Velit,37308.7
52,Fan,Home,Laborum,25710.57
53,Camera,Electronics,Occaecati,47276.24
54,Headphones,Electronics,Excepturi,48204.91
55,Camera,Electronics,Temporibus,21371.05
56,Camera,Electronics,Sint,22233.76
57,Headphones,Electronics,Soluta,3377.54
58,Dictionary,Books,Exercitationem,29909.85
59,Magazine,Books,Animi,21566.95
60,Phone,Electronics,Vero,44415.74
61,Lamp,Home,Iste,19996.64
62,Headphones,Electronics,Modi,33288.88
63,Biography,Books,Cum,23765.97
64,Laptop,Electronics,Molestiae,4918.57
65,Biography,Books,Facere,29364.61
66,Novel,Books,Quis,43693.01
67,Chair,Home,Id,30060.46
68,Novel,Books,Alias,10715.67
69,Table,Home,Quas,17570.69
70,Novel,Books,Minima,28747.59
71,Chair,Home,Quam,32925.78
72,Novel,Books,Quaerat,35164.67
73,Dictionary,Books,Occaecati,9152.14
74,Shoes,Clothing,Placeat,37074.36
75,Laptop,Electronics,Aperiam,10835.13
76,Fan,Home,Impedit,18565.65
77,Novel,Books,Totam,7863.44
78,Laptop,Electronics,Earum,33130.74
79,Fan,Home,Iste,10856.89
80,Headphones,Electronics,Quam,14234.0
