InvoiceNo,StockCode,Product_Name,Quantity,UnitPrice,CustomerID,Country,TotalPrice
536370,22728,ALARM CLOCK BAKELIKE PINK,24,3.75,12583,France,90.0
536370,22727,ALARM CLOCK BAKELIKE RED,24,3.75,12583,France,90.0
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,3.75,12583,France,45.0
536370,21035,SET/2 RED RETROSPOT TEA TOWELS,18,2.95,12583,France,53.1
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND,24,2.95,12583,France,70.8
536370,22900,SET 2 TEA TOWELS I LOVE LONDON,24,2.95,12583,France,70.8
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,3.75,12583,France,45.0
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS,80,2.55,13748,United Kingdom,204.0
536374,21258,VICTORIAN SEWING BOX LARGE,32,10.95,15100,United Kingdom,350.4
536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,3.45,15291,United Kingdom,165.6
536376,21733,RED HANGING HEART T-LIGHT HOLDER,64,2.55,15291,United Kingdom,163.2
536378,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,3.75,14688,United Kingdom,45.0
536381,22139,RETROSPOT TEA SET CERAMIC 11 PC,23,4.25,15311,United Kingdom,97.75
536382,22926,IVORY GIANT GARDEN THERMOMETER,12,5.95,16098,United Kingdom,71.4
536384,22457,NATURAL SLATE HEART CHALKBOARD,12,2.95,18074,United Kingdom,35.4
536384,22470,HEART OF WICKER LARGE,40,2.55,18074,United Kingdom,102.0
536386,84880,WHITE WIRE EGG HOLDER,36,4.95,16029,United Kingdom,178.2
536387,79321,CHILLI LIGHTS,192,3.82,16029,United Kingdom,733.44
536387,22780,LIGHT GARLAND BUTTERFILES PINK,192,3.37,16029,United Kingdom,647.04
536387,22779,WOODEN OWLS LIGHT GARLAND,192,3.37,16029,United Kingdom,647.04
536390,22960,JAM MAKING SET WITH JARS,12,3.75,17511,United Kingdom,45.0
536390,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2.55,17511,United Kingdom,102.0
536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,2.55,17511,United Kingdom,163.2
536390,21533,RETROSPOT LARGE MILK JUG,12,4.25,17511,United Kingdom,51.0
536390,22654,DELUXE SEWING KIT,40,4.95,17511,United Kingdom,198.0
536390,21485,RETROSPOT HEART HOT WATER BOTTLE,24,4.25,17511,United Kingdom,102.0
536390,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,3.39,17511,United Kingdom,81.36
536390,84030E,ENGLISH ROSE HOT WATER BOTTLE,24,3.75,17511,United Kingdom,90.0
536394,21485,RETROSPOT HEART HOT WATER BOTTLE,12,4.95,13408,United Kingdom,59.4
536394,22349,DOG BOWL CHASING BALL DESIGN,12,3.75,13408,United Kingdom,45.0
536394,85152,HAND OVER THE CHOCOLATE   SIGN,12,2.1,13408,United Kingdom,25.2
536394,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2.55,13408,United Kingdom,81.6
536395,22867,HAND WARMER BIRD DESIGN,48,2.1,13767,United Kingdom,100.8
536395,22866,HAND WARMER SCOTTY DOG DESIGN,48,2.1,13767,United Kingdom,100.8
536396,82494L,WOODEN FRAME ANTIQUE WHITE,12,2.55,17850,United Kingdom,30.6
536397,35004B,SET OF 3 BLACK FLYING DUCKS,12,4.65,17924,United Kingdom,55.8
536397,35004C,SET OF 3 COLOURED  FLYING DUCKS,48,4.65,17924,United Kingdom,223.2
536398,22632,HAND WARMER RED RETROSPOT,12,2.1,13448,United Kingdom,25.2
536398,22866,HAND WARMER SCOTTY DOG DESIGN,12,2.1,13448,United Kingdom,25.2
536398,22865,HAND WARMER OWL DESIGN,12,2.1,13448,United Kingdom,25.2
536402,22086,PAPER CHAIN KIT 50'S CHRISTMAS,40,2.55,15513,United Kingdom,102.0
536402,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2.55,15513,United Kingdom,102.0
536402,22837,HOT WATER BOTTLE BABUSHKA,36,4.25,15513,United Kingdom,153.0
536404,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,12,2.1,16218,United Kingdom,25.2
536405,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,128,2.55,14045,United Kingdom,326.4
536408,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2.1,14307,United Kingdom,25.2
536408,21587,COSY HOUR GIANT TUBE MATCHES,12,2.55,14307,United Kingdom,30.6
536415,22807,SET OF 6 T-LIGHTS TOADSTOOLS,12,2.95,12838,United Kingdom,35.4
536423,22632,HAND WARMER RED RETROSPOT,12,2.1,18085,United Kingdom,25.2
536423,22111,SCOTTIE DOG HOT WATER BOTTLE,16,4.95,18085,United Kingdom,79.2
536425,22637,PIGGY BANK RETROSPOT,12,2.55,13758,United Kingdom,30.6
536437,22189,CREAM HEART CARD HOLDER,72,3.39,13694,United Kingdom,244.08
536437,22188,BLACK HEART CARD HOLDER,36,3.39,13694,United Kingdom,122.04
536446,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,12,2.55,15983,United Kingdom,30.6
536460,21586,KINGS CHOICE GIANT TUBE MATCHES,12,2.55,14849,United Kingdom,30.6
536477,84029E,RED WOOLLY HOTTIE WHITE HEART.,24,3.39,16210,United Kingdom,81.36
536477,21137,BLACK RECORD COVER FRAME,480,3.39,16210,United Kingdom,1627.2
536477,22041,"\"RECORD FRAME 7\"\" SINGLE SIZE \"",48,2.1,16210,United Kingdom,100.8
536477,22633,HAND WARMER UNION JACK,12,2.1,16210,United Kingdom,25.2
536477,22632,HAND WARMER RED RETROSPOT,12,2.1,16210,United Kingdom,25.2
536477,22423,REGENCY CAKESTAND 3 TIER,16,10.95,16210,United Kingdom,175.2
536514,22865,HAND WARMER OWL DESIGN,36,2.1,17951,United Kingdom,75.6
536514,22633,HAND WARMER UNION JACK,36,2.1,17951,United Kingdom,75.6
536514,22866,HAND WARMER SCOTTY DOG DESIGN,36,2.1,17951,United Kingdom,75.6
536526,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,16,2.95,14001,United Kingdom,47.2
536531,15056N,EDWARDIAN PARASOL NATURAL,12,5.95,15485,United Kingdom,71.4
536531,15056BL,EDWARDIAN PARASOL BLACK,12,5.95,15485,United Kingdom,71.4
536531,20679,EDWARDIAN PARASOL RED,12,5.95,15485,United Kingdom,71.4
536531,21333,CLASSIC WHITE FRAME,12,2.95,15485,United Kingdom,35.4
536531,22086,PAPER CHAIN KIT 50'S CHRISTMAS,80,2.55,15485,United Kingdom,204.0
536531,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2.55,15485,United Kingdom,102.0
536532,22866,HAND WARMER SCOTTY DOG DESIGN,12,2.1,12433,Norway,25.2
536532,22632,HAND WARMER RED RETROSPOT,12,2.1,12433,Norway,25.2
536532,22865,HAND WARMER OWL DESIGN,12,2.1,12433,Norway,25.2
536532,84375,SET OF 20 KIDS COOKIE CUTTERS,24,2.1,12433,Norway,50.4
536532,22956,36 FOIL HEART CAKE CASES,12,2.1,12433,Norway,25.2
536532,22667,RECIPE BOX RETROSPOT,12,2.95,12433,Norway,35.4
536532,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,2.95,12433,Norway,35.4
536532,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,12,2.95,12433,Norway,35.4
536532,85150,LADIES & GENTLEMEN METAL SIGN,12,2.55,12433,Norway,30.6
536532,85152,HAND OVER THE CHOCOLATE   SIGN,24,2.1,12433,Norway,50.4
536532,82600,NO SINGING METAL SIGN,24,2.1,12433,Norway,50.4
536532,21260,FIRST AID TIN,12,3.25,12433,Norway,39.0
536534,22866,HAND WARMER SCOTTY DOG DESIGN,12,2.1,15350,United Kingdom,25.2
536534,22834,HAND WARMER BABUSHKA DESIGN,12,2.1,15350,United Kingdom,25.2
536534,22865,HAND WARMER OWL DESIGN,12,2.1,15350,United Kingdom,25.2
536534,22867,HAND WARMER BIRD DESIGN,12,2.1,15350,United Kingdom,25.2
536537,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,36,2.1,15922,United Kingdom,75.6
536537,21688,SILVER PLATE CANDLE BOWL SMALL,12,2.95,15922,United Kingdom,35.4
536537,21694,SMALL REGAL  SILVER CANDLEPOT,12,2.95,15922,United Kingdom,35.4
536539,22867,HAND WARMER BIRD DESIGN,12,2.1,15165,United Kingdom,25.2
536539,22632,HAND WARMER RED RETROSPOT,12,2.1,15165,United Kingdom,25.2
536542,22379,RECYCLING BAG RETROSPOT,20,2.1,16456,United Kingdom,42.0
536542,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2.95,16456,United Kingdom,94.4
536557,79321,CHILLI LIGHTS,24,4.25,17841,United Kingdom,102.0
536560,79321,CHILLI LIGHTS,48,4.25,13093,United Kingdom,204.0
536560,22960,JAM MAKING SET WITH JARS,12,3.75,13093,United Kingdom,45.0
536560,20685,DOORMAT RED RETROSPOT,20,6.75,13093,United Kingdom,135.0
536561,22866,HAND WARMER SCOTTY DOG DESIGN,12,2.1,12921,United Kingdom,25.2
536561,22867,HAND WARMER BIRD DESIGN,12,2.1,12921,United Kingdom,25.2
536561,22865,HAND WARMER OWL DESIGN,12,2.1,12921,United Kingdom,25.2
536561,22632,HAND WARMER RED RETROSPOT,12,2.1,12921,United Kingdom,25.2
536562,21181,PLEASE ONE PERSON METAL SIGN,12,2.1,13468,United Kingdom,25.2
536567,22867,HAND WARMER BIRD DESIGN,24,2.1,16048,United Kingdom,50.4
536567,22866,HAND WARMER SCOTTY DOG DESIGN,24,2.1,16048,United Kingdom,50.4
536567,22865,HAND WARMER OWL DESIGN,24,2.1,16048,United Kingdom,50.4
536567,22632,HAND WARMER RED RETROSPOT,24,2.1,16048,United Kingdom,50.4
536570,22457,NATURAL SLATE HEART CHALKBOARD,12,2.95,14496,United Kingdom,35.4
536570,22113,GREY HEART HOT WATER BOTTLE,36,3.39,14496,United Kingdom,122.04
536570,22835,HOT WATER BOTTLE I AM SO POORLY,24,4.25,14496,United Kingdom,102.0
536575,21107,CREAM SLICE FLANNEL PINK SPOT,72,2.55,13777,United Kingdom,183.6
536575,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2.55,13777,United Kingdom,326.4
536575,15056P,EDWARDIAN PARASOL PINK,48,4.6,13777,United Kingdom,220.8
536576,22041,"\"RECORD FRAME 7\"\" SINGLE SIZE \"",144,2.1,13777,United Kingdom,302.4
536576,85174,S/4 CACTI CANDLES,16,4.25,13777,United Kingdom,68.0
536576,84029E,RED WOOLLY HOTTIE WHITE HEART.,96,2.95,13777,United Kingdom,283.2
536576,82615,PINK MARSHMALLOW SCARF KNITTING KIT,36,2.55,13777,United Kingdom,91.8
536576,35004C,SET OF 3 COLOURED  FLYING DUCKS,120,4.65,13777,United Kingdom,558.0
536576,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2.55,13777,United Kingdom,326.4
536576,15056N,EDWARDIAN PARASOL NATURAL,36,4.25,13777,United Kingdom,153.0
536576,21107,CREAM SLICE FLANNEL PINK SPOT,48,2.55,13777,United Kingdom,122.4
536578,22837,HOT WATER BOTTLE BABUSHKA,12,4.65,17690,United Kingdom,55.8
536578,22865,HAND WARMER OWL DESIGN,24,2.1,17690,United Kingdom,50.4
536578,22866,HAND WARMER SCOTTY DOG DESIGN,24,2.1,17690,United Kingdom,50.4
536578,22834,HAND WARMER BABUSHKA DESIGN,24,2.1,17690,United Kingdom,50.4
536582,22637,PIGGY BANK RETROSPOT,12,2.55,12947,United Kingdom,30.6
536584,84029E,RED WOOLLY HOTTIE WHITE HEART.,384,2.95,13777,United Kingdom,1132.8
536587,22867,HAND WARMER BIRD DESIGN,12,2.1,14142,United Kingdom,25.2
536588,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,2.95,17069,United Kingdom,35.4
536588,22667,RECIPE BOX RETROSPOT,12,2.95,17069,United Kingdom,35.4
536588,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,12,3.75,17069,United Kingdom,45.0
536588,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,12,3.75,17069,United Kingdom,45.0
536595,21137,BLACK RECORD COVER FRAME,60,3.39,13576,United Kingdom,203.4
536595,22041,"\"RECORD FRAME 7\"\" SINGLE SIZE \"",24,2.55,13576,United Kingdom,61.2
536598,22617,BAKING SET SPACEBOY DESIGN,24,4.25,13090,United Kingdom,102.0
536599,22726,ALARM CLOCK BAKELIKE GREEN,12,3.75,15694,United Kingdom,45.0
536599,20749,ASSORTED COLOUR MINI CASES,12,6.35,15694,United Kingdom,76.2
536604,22189,CREAM HEART CARD HOLDER,12,3.95,14741,United Kingdom,47.4
536605,21181,PLEASE ONE PERSON METAL SIGN,12,2.1,13715,United Kingdom,25.2
536611,22865,HAND WARMER OWL DESIGN,12,2.1,15752,United Kingdom,25.2
536611,22866,HAND WARMER SCOTTY DOG DESIGN,12,2.1,15752,United Kingdom,25.2
536611,22632,HAND WARMER RED RETROSPOT,24,2.1,15752,United Kingdom,50.4
536611,22633,HAND WARMER UNION JACK,12,2.1,15752,United Kingdom,25.2
536615,22467,GUMBALL COAT RACK,12,2.55,14047,United Kingdom,30.6
536616,21137,BLACK RECORD COVER FRAME,72,3.39,17925,United Kingdom,244.08
536617,79321,CHILLI LIGHTS,24,4.25,13941,United Kingdom,102.0
536617,22179,SET 10 LIGHTS NIGHT OWL,24,5.95,13941,United Kingdom,142.8
536617,79302M,"ART LIGHTS,FUNK MONKEY",20,2.55,13941,United Kingdom,51.0
536617,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,108,2.1,13941,United Kingdom,226.8
536617,21743,STAR PORTABLE TABLE LIGHT,96,2.55,13941,United Kingdom,244.8
536618,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2.1,17017,United Kingdom,25.2
536618,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2.55,17017,United Kingdom,102.0
536618,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,24,4.25,17017,United Kingdom,102.0
536619,22960,JAM MAKING SET WITH JARS,12,3.75,17017,United Kingdom,45.0
536621,22752,SET 7 BABUSHKA NESTING BOXES,12,8.5,13108,United Kingdom,102.0
536623,22697,GREEN REGENCY TEACUP AND SAUCER,12,2.95,15601,United Kingdom,35.4
536623,82494L,WOODEN FRAME ANTIQUE WHITE,12,2.95,15601,United Kingdom,35.4
536624,22727,ALARM CLOCK BAKELIKE RED,24,3.75,13418,United Kingdom,90.0
536624,22726,ALARM CLOCK BAKELIKE GREEN,24,3.75,13418,United Kingdom,90.0
536624,22109,FULL ENGLISH BREAKFAST PLATE,16,3.39,13418,United Kingdom,54.24
536624,21588,RETROSPOT GIANT TUBE MATCHES,12,2.55,13418,United Kingdom,30.6
536627,22697,GREEN REGENCY TEACUP AND SAUCER,12,2.95,15658,United Kingdom,35.4
536627,22699,ROSES REGENCY TEACUP AND SAUCER,12,2.95,15658,United Kingdom,35.4
536635,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2.1,15955,United Kingdom,25.2
536635,85150,LADIES & GENTLEMEN METAL SIGN,12,2.55,15955,United Kingdom,30.6
536635,85152,HAND OVER THE CHOCOLATE   SIGN,12,2.1,15955,United Kingdom,25.2
536635,21181,PLEASE ONE PERSON METAL SIGN,12,2.1,15955,United Kingdom,25.2
536635,22112,CHOCOLATE HOT WATER BOTTLE,12,4.95,15955,United Kingdom,59.4
536636,22086,PAPER CHAIN KIT 50'S CHRISTMAS,36,2.95,15070,United Kingdom,106.2
536639,22632,HAND WARMER RED RETROSPOT,12,2.1,15111,United Kingdom,25.2
536639,22867,HAND WARMER BIRD DESIGN,12,2.1,15111,United Kingdom,25.2
536639,22866,HAND WARMER SCOTTY DOG DESIGN,12,2.1,15111,United Kingdom,25.2
536639,22865,HAND WARMER OWL DESIGN,12,2.1,15111,United Kingdom,25.2
536663,22867,HAND WARMER BIRD DESIGN,24,2.1,16546,United Kingdom,50.4
536663,22633,HAND WARMER UNION JACK,24,2.1,16546,United Kingdom,50.4
536663,22632,HAND WARMER RED RETROSPOT,24,2.1,16546,United Kingdom,50.4
536663,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2.55,16546,United Kingdom,102.0
536667,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2.95,15260,United Kingdom,35.4
536667,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2.95,15260,United Kingdom,35.4
536685,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2.55,17850,United Kingdom,30.6
536685,71053,WHITE METAL LANTERN,12,3.39,17850,United Kingdom,40.68
536698,22745,POPPY'S PLAYHOUSE BEDROOM,12,2.1,15363,United Kingdom,25.2
536698,21743,STAR PORTABLE TABLE LIGHT,12,2.95,15363,United Kingdom,35.4
